"c3","date","country","COLLEGE","SG","SJ","COMM","ECFIN","ENTR","COMP","EMPL","AGRI","MOVE","ENER","ENV","CLIMA","RTD","JRC","INFSO","MARE","MARKT","REGIO","TAXUD","EAC","HOME","JUST","FPI","TRADE","DEVCO","ECHO","ESTAT","HR","DIGIT","BUDG","IAS","OLAF","SCIC","DGT","OP","OIB","PMO","OIL","EPSO","CdP.OSP","CNECT","GROW","FISMA","SANTE","NEAR","NON.ASSIGN.DG","TF50","SRSS","DEFIS","IDEA","REFORM","UKTF","total","INTPA","HERA","year","month","spring"
"SVK",2018-01-01,"Slovakia",9,9,5,23,7,0,13,9,10,3,8,7,3,13,18,0,4,0,19,1,3,3,7,0,9,4,7,14,10,3,2,1,8,14,78,16,6,1,2,0,0,5,18,4,6,12,0,0,0,0,1,0,0,790,0,0,2018,1,1
"SVK",2017-01-01,"Slovakia",8,8,4,23,8,0,14,12,9,3,7,6,2,13,18,0,3,0,20,2,3,4,7,1,10,4,4,14,8,3,2,1,7,15,80,16,6,1,2,0,0,6,15,3,7,12,0,0,0,0,1,0,0,784,0,0,2017,1,1
"SVK",2012-12-01,"Slovakia",11,9,5,6,9,16,10,8,7,5,8,9,1,7,8,0,1,4,17,5,8,3,8,1,9,2,2,12,3,3,2,1,6,13,71,16,2,0,0,0,0,6,0,0,10,4,0,0,0,0,0,0,0,656,0,0,2012,12,0
"SVK",2019-01-01,"Slovakia",13,9,6,25,7,0,14,9,12,5,6,7,3,12,20,0,3,0,18,2,3,3,7,0,12,4,8,18,11,2,2,1,9,12,84,18,6,2,2,0,0,8,20,6,7,14,0,0,1,0,1,0,0,432,0,0,2019,1,1
"SVK",2014-12-01,"Slovakia",9,9,5,6,8,12,11,7,7,4,8,8,1,7,10,0,3,6,19,3,6,2,6,1,8,3,2,15,5,3,2,1,8,13,77,15,2,0,0,0,0,7,0,0,6,2,0,0,0,0,0,0,0,654,0,0,2014,12,0
"SVK",2018-10-01,"Slovakia",12,10,6,24,6,0,15,10,12,5,6,7,3,13,20,0,3,0,18,2,3,3,9,0,10,4,8,18,10,2,2,1,8,12,84,18,6,2,2,0,0,8,20,6,7,13,0,0,0,0,1,0,0,429,0,0,2018,10,0
"SVK",2020-07-01,"Slovakia",9,8,5,27,5,0,17,9,14,7,8,7,4,11,20,0,3,0,19,2,2,5,9,0,11,7,7,20,10,3,4,1,9,13,80,19,4,2,3,0,0,8,16,5,7,12,0,0,0,3,1,1,1,438,0,0,2020,7,0
"SVK",2016-01-01,"Slovakia",10,6,4,22,10,0,16,10,10,3,9,9,0,10,16,0,3,0,18,2,3,3,6,3,9,5,2,16,8,2,2,1,8,16,84,15,5,1,2,0,0,8,16,3,8,10,0,0,0,0,1,0,0,790,0,0,2016,1,1
"SVK",2013-12-01,"Slovakia",12,6,5,7,9,14,10,7,8,4,9,8,1,7,9,0,1,5,19,4,7,2,6,1,8,3,2,15,4,4,3,2,6,13,73,16,2,0,0,0,0,7,0,0,11,3,0,0,0,0,0,0,0,666,0,0,2013,12,0
"SVK",2011-12-01,"Slovakia",9,10,3,6,8,15,11,10,8,5,8,9,3,10,5,5,1,4,19,8,8,3,8,1,7,0,3,10,3,4,3,1,6,12,70,16,2,0,0,0,0,0,0,0,10,6,0,0,0,0,0,0,0,660,0,0,2011,12,0
"SVK",2015-01-01,"Slovakia",9,9,5,21,8,0,14,11,10,4,8,10,1,10,17,0,3,0,23,2,3,2,6,3,9,5,2,18,10,3,2,1,8,13,80,14,6,0,3,0,0,9,17,3,7,8,0,0,0,0,1,0,0,796,0,0,2015,1,1
